1,question1: What is the sum of 5 and 10?,15,20,25,30
1,question2: What color do you get when you mix red and white?,Pink,Purple,Orange,Green
2,question3: How many legs do spiders have?,6,8,10,12
1,question4: What is the freezing point of water?,0째C,32째C,100째C,-32째C
2,question5: Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain
3,question6: What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn
3,question7: What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen
3,question8: How many continents are there?,5,6,7,8
1,question9: What is the capital of France?,Paris,London,Berlin,Madrid
4,question10: What is the largest ocean?,Atlantic,Indian,Arctic,Pacific
3,question11: Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet
3,question12: What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz
1,question13: What planet is known as the Red Planet?,Mars,Jupiter,Saturn,Venus
2,question14: What is the chemical symbol for water?,O2,H2O,CO2,NaCl
3,question15: What is the capital of Canada?,Toronto,Paris,Ottawa,Vancouver
